Item #,Item Name
1,Extension Cords
2,Orange
3,Cleaning Rags
4,Jam
5,Razors
6,Pickles
7,Potatoes
8,Deodorant
9,Honey
10,Bath Towels
11,Cereal
12,Trash Cans
13,Water
14,Sponges
15,Dish Soap
16,Air Freshener
17,Apple
18,BBQ Sauce
19,Iron
20,Laundry Detergent
21,Milk
22,Salmon
23,Tomatoes
24,Tea
25,Vinegar
26,Banana
27,Light Bulbs
28,Tuna
29,Soap
30,Mayonnaise
31,Coffee
32,Garden Hose
33,Yogurt
34,Shampoo
35,Vacuum Cleaner
36,Olive Oil
37,Syrup
38,Hand Sanitizer
39,Ice Cream
40,Diapers
41,Ironing Board
42,Ketchup
43,Butter
44,Rice
45,Toothbrush
46,Soda
47,Cereal Bars
48,Paper Towels
49,Mustard
50,Onions
51,Peanut Butter
52,Shower Gel
53,Toilet Paper
54,Shrimp
55,Dustpan
56,Cheese
57,Tissues
58,Mop
59,Carrots
60,Toothpaste
61,Insect Repellent
62,Bread
63,Feminine Hygiene Products
64,Dishware
65,Eggs
66,Broom
67,Chicken
68,Plant Fertilizer
69,Lawn Mower
70,Hair Gel
71,Beef
72,Canned Soup
73,Spinach
74,Baby Wipes
75,Pasta
76,Shaving Cream
77,Pancake Mix
78,Power Strips
79,Chips
80,Trash Bags
81,Cleaning Spray
